GNames	Control_1	Control_2	Control_3	IL6_1	IL6_2	IL6_3
DPYD-AS1	0.284488008681081	0.42940756459619	0.482994324759423	0.545336551532751	0.324931212483336	0.471137893541104
DPYD-AS2	0	0.0576047357270123	0.0925619478737642	0	0.174357213650789	0.0632028312624932
DPYS	0.496720983817074	0.192793637555055	0.120473777864435	0.213751787014375	0.210724620577108	0.282039398004972
DPYSL2	18.4688662819945	23.736018188472	16.3698041375294	19.9263938909563	26.985019107621	16.6457388344213
DPYSL3	6.40821059674961	7.91971181027575	10.1061785772966	5.52818151736003	7.80715793690168	8.43027227696198
DPYSL4	0.427981594274527	0.0516797976649978	0.221443957251238	0.265653383998169	0.0521412311686291	0.170106302408343
DPYSL5	0	0	0	0	0.00683422458465403	0
DQX1	0.38239482522614	0.159836838380549	0.271101720150599	0.33831444930996	0.161263973850642	0.194855521288517
DR1	22.281715375096	18.8427557747724	20.2670877391231	21.8097868324656	21.0557846054183	20.8502060099824
DRAM1	33.0622627600874	88.5363224563272	45.3887658627246	44.7107122671602	70.1223688123979	51.1425819052603
DRAM2	48.7544505048804	129.602928264075	69.8151291497189	51.4954744651886	110.752692672936	57.9113479068981
DRAP1	51.025791531806	16.8082389558321	51.056699481201	43.3186572749942	16.1336295443388	46.6347223303937
DRAXIN	8.92486859559996	16.377841862582	7.14431537646062	13.676870227456	18.1979072572903	4.57245570213693
DRC1	0	0.0187129499359718	0	0	0.0283200484200188	0.0205314962789093
DRC7	0.133201835925266	0.0804221959667505	0.0775356576345168	0.102134118332176	0.0121710392645843	0.0529426313662375
DRD1	0	0	0	0.0126570001392739	0	0
DRD2	0.259135594450402	0.31291240723146	0.251401048539674	0.110386305799941	0.0789265771773092	0.152587378027281
DRD3	0	0	0	0	0	0
DRD4	0.113134563684494	0	0.0548788907205119	0.123924706698574	0.0258435855501986	0.0374722156324071
DRD5	0	0.0196259670929813	0	0.0356063898830448	0	0
DRG1	11.955477667498	20.8527572587616	14.6916065112288	13.3867404731811	22.9648179964948	13.8683469488069
DRG2	14.7493468553256	9.51599749197161	15.0264594828151	15.4953213586386	9.88543597304495	14.3077263034414
DRGX	0.0816227375946217	0	0.0395932520728457	0	0	0.0540698566926251
DRICH1	0.93352951358896	0.211361088653853	1.44340519522444	0.862788667137896	0.373184470246979	1.19815726555186
DROSHA	9.93632983512867	10.0305552218304	10.9269215526214	10.1415514679002	10.4166028041947	11.3396998217221
DRP2	0.0328532092104659	0.0396710332174133	0.0265605196059706	0.0239910432467878	0.0400252440440277	0.0145087701933344
DSC1	0.0183497444451186	0.0332366307016888	0.00890102536006772	0	0.00838334766670755	0.0121555351086292
DSC2	6.9522431948086	10.6288618641376	9.34276229504814	12.1093223581525	12.5004551833441	15.6544667366484
DSC3	0.0101589618666576	0.00613359430326718	0.0295672271912676	0.0500754011702709	0.0232063475095619	0.0605669774768139
DSCAM	0	0	0	0	0	0
DSCAM-AS1	0	0	0.0287595023613369	0	0	0
DSCAML1	0.0563464756277763	0.00680397124316453	0.0218658700051656	0.0308602439352907	0.0205941656140949	0
DSCAS	0	0	0	0	0	0
DSCC1	0.816583651239547	1.17092751512378	0.957254574826201	1.04354231432273	1.25910490261718	0.586012458011262
DSCR3	38.6632500910301	33.2712164296068	35.3117142363349	35.7998928649049	35.1853741817644	38.9180762164197
DSCR8	0	0	0	0	0	0
DSCR9	0.278226226246397	0.139985333372226	0.179947915319132	0.17777776932775	0.0211852830982592	0.0307178543375711
DSE	24.8360753006823	47.097699741498	25.6065011828805	36.273068654726	51.711005266348	37.3755066102294
DSEL	0	0	0.0122222462172646	0	0	0.0055637014482768
DSG1	0	0	0	0.0117576594518785	0	0
DSG2	0.178500314752382	0.273574296190707	0.0732653008268266	0.0977623390893296	0.10036980348692	0.0363830989112327
DSG4	0.0217736632410234	0	0.0105618870752982	0.0119251568351315	0	0
DSN1	5.9372931144167	7.14845973397703	6.26535000477489	6.46552647261515	8.18520457202209	5.65811211031547
DSP	0.809630260231609	23.4136681198895	38.8604718565159	0.76468039944614	20.906410727462	41.237086571629
DSPP	0	0	0	0	0	0
DST	12.1544113747432	21.6393719136952	14.3982871046865	12.9935350600678	18.9184955781847	17.0601932327654
DSTN	37.587957924686	47.7159631095328	41.5619488871057	36.527741193105	42.5352224613749	36.2640681761227
DSTYK	4.59599840591051	5.4244600676088	4.4252584039803	4.58503784396423	5.75737553963708	4.70760340901055
DTD1	6.66675188822973	9.90801454234827	8.37492790938882	8.23881887885626	8.4345302108963	7.096273441229
DTD2	1.93717761979046	2.09479536004313	1.66898187279019	2.5811595025932	1.94177735594296	2.14514535243317
DTHD1	0.0231648482623666	0.111888425741303	0.0898937431356498	0.190306366135679	0.158747968366475	0
DTL	0.440214031248314	0.684906128751892	0.320306061958118	0.528564494163478	0.72711958690605	0.280397801050988
DTNA	1.92504993689208	3.03978789608228	3.78649154782327	2.12023644413689	2.68678466321225	3.64349365312582
DTNB	1.03852996863183	2.36651312859636	1.82005863826791	2.14672196097439	2.15806195823554	2.52991687954743
DTNBP1	9.35946238041041	7.0227785910211	7.63673651963083	10.0447029028665	8.28012825906771	10.1781114433047
DTWD1	4.72692776064321	4.32578171154598	3.01396458555124	4.26594969704855	4.61793924666135	3.62362899145559
DTWD2	2.13131506977154	2.21406476979763	2.53141295776657	2.52341497173292	2.17655571203559	2.5953313797801
DTX1	0.470001292605465	0.0425653322944751	0.0569966169898398	0.900947935604304	0.193254234573217	0.280211286210186
DTX2	9.56549237127181	2.26328541347545	12.5718735700048	12.1414996621901	4.1782027567122	13.6149733629507
DTX3	0.25002199446621	0.345037163408864	0.242559466528248	0.371677587809273	0.228452369982572	0.189284139038735
DTX3L	13.8249926863434	14.9315909146856	14.5333250706605	17.8228994435726	18.7076554271182	19.1668174107892
DTX4	18.3039576272532	17.2935251005131	14.193838975567	21.2806730641362	22.1543406962146	16.3127268396878
DTYMK	5.77248508167982	3.64010473943628	6.00464914861928	6.88507981196981	3.57493045405456	6.03326937117584
DUOX1	0.608136895203838	0.298859219589884	0.288132472075775	0.511221876629794	0.303681413348546	0.299796761450031
DUOX2	0.0363797671375383	0.0439294359741051	0	0.0265663108012812	0.0221608344045885	0.0160661832974726
DUOXA1	0.188496050846237	0.341420211752106	0.137152438278513	0.12044302184819	0.430585813633352	0.124866608934843
DUOXA2	0.0537213745023182	0.064869840201106	0	0.0588450192553697	0.0981735655084043	0
DUPD1	0.235142426481497	0.0709850212503304	0.399217028609598	0.193176748731994	0.0537141189866873	0.311533714206739
DUS1L	21.6572473249985	7.81088751541293	21.3285771158455	20.0231149611923	7.76216978477215	18.6315241179898
DUS2	10.2937886280434	10.1498174544114	11.3159226531647	9.77458628034525	8.94766267375647	8.988653205127
DUS3L	8.31903392783432	2.12414416133382	9.08401738039134	8.69095562386157	1.89196430685775	8.86102505509619
DUS4L	3.10764796149075	2.72163619026854	2.73328164878412	3.32922404926506	3.04237323531383	2.3979512532596
DUSP1	6.11370308899436	6.6903382505822	7.98861789692499	6.63401151251458	7.85568990293333	9.31485805450643
DUSP10	15.1914435551926	11.3884352538872	17.2570888599861	16.5749342679874	11.290132943994	18.2880355263763
DUSP11	17.8823017736069	16.8266982786788	18.8942429069375	21.2809116629471	19.5118913248087	17.8948462811522
DUSP12	11.4828495842657	10.0508814719659	11.2874714214983	10.215481580612	9.24314066689282	11.8728218026151
DUSP13	5.03639858152272	5.9779081855367	6.74611456407478	6.89592769418043	5.17714189062282	4.20827838264218
DUSP15	0.169088317541646	0.408356347843549	0.2734024273784	0.15434584765033	0.386252287457114	0.186683706189823
DUSP16	2.8280235417676	3.27323943656508	2.9472885628593	3.13832644490328	3.44727718672814	3.10867411077428
DUSP18	3.9728351680436	3.01183443004931	4.10058066159014	4.433541667381	2.67480689483698	3.7992178420057
DUSP19	0.554339163470095	0.572494131117351	0.580250917565351	0.68710485073754	0.67979754895941	0.454186148513158
DUSP2	31.9922422744997	16.7531299752864	42.394103728871	26.0951476386902	16.8471126469349	27.6322926311497
DUSP21	0.0876824683946723	0	0	0	0.040059011122805	0
DUSP22	16.5351389078332	14.4416728789263	12.8669979296381	14.3850582305308	12.7537009806465	14.2529451866389
DUSP23	14.4391532211256	8.7833582953712	16.3779858312059	12.248697298943	9.37431073525201	12.5136324311766
DUSP26	0	0	0.0233982399316632	0	0	0
DUSP27	0.985482259239001	0.699996069513009	0.534273345363723	0.814895570844017	0.759214585167924	0.473613878462952
DUSP28	9.17350336521631	7.80853493328833	7.1732533333003	8.20895586866844	7.58053025917494	6.67458478239008
DUSP3	30.9425901760775	28.5857829528122	34.8516755276203	34.9458091940462	31.241566921624	34.9692454451981
DUSP4	0.803188432951301	1.23741929561563	0.752345785503326	0.728103774866177	1.11982504226102	0.825612050232714
DUSP5	8.69851429718653	8.11814826074607	12.1383265280695	7.48159505323347	8.35388571850932	10.4693689485545
DUSP6	26.9609311298627	28.8698549046968	41.9019401347578	37.8151456268505	34.7700380108621	60.865664371578
DUSP7	13.0556171869843	9.72269684461728	16.9267247469346	15.1945883751198	12.3569099208605	13.5133023887156
DUSP8	0.347137449915904	0.104794186348183	0.227323982239062	0.266171837242638	0.126875834868681	0.287445519550796
DUT	13.1058911084375	14.9220493531454	8.00556017193898	12.694300209989	13.3427761403021	10.1823777209762
DUXAP10	0.0325061361146221	0	0.0157679548496946	0.0356063898830448	0	0
DUXAP8	0.0369955929771541	0.0223365301798619	0.107674102628665	0	0.0507059243780356	0.0490144405487204
DVL1	6.86466372793043	1.64824757466388	7.0197583870499	6.63389054348548	1.50151144182599	5.355048453848
DVL2	11.2855627195052	6.28846655077952	9.94322262653087	10.8201810402041	6.73433272188121	9.86624000049278
DVL3	18.7867743059221	14.1412343108562	23.1336207057632	18.3857554303826	14.4433785437623	23.2375409967003
DXO	0.294149865610184	0.295994145213642	0.428055347590892	0.483306356200615	0.515148805213613	0.552090643621389
DYDC1	0	0	0	0	0	0
DYDC2	0	0	0	0	0.0204787009132684	0
DYM	8.12717722236351	12.3567418805791	11.5535309097971	9.40589938597651	14.2693764531194	10.4137967869436
DYNC1H1	41.2192835381898	43.7662619364488	41.3923450442086	44.5173470189322	41.3457670357476	51.543226975976
DYNC1I1	0.105751167579404	0.31924263887711	0.333432973764274	0.275113168285033	0.144941877583316	0.385293712846709
DYNC1I2	27.322996779703	38.2633660017164	33.8473323427143	27.8249980614229	40.3572844570698	38.2902140119506
DYNC1LI1	18.2409144906273	23.914845199666	18.7330194605793	20.896551347635	26.9817095399447	21.6230018411476
DYNC1LI2	26.7414806005298	22.9367576950372	22.719949030241	26.0547139813982	23.5588867005096	27.7998205124939
DYNC2H1	0.575590082865066	0.922130612088978	0.442305082037128	0.486910483049608	0.791503736779135	0.456795020263958
DYNC2LI1	8.55308586604742	8.41669422056518	7.59733431434677	6.90495044625043	9.69288212400056	8.38843647475907
DYNLL1	154.333815610598	141.084178609081	175.042064701418	163.824860265362	151.729010270484	164.913136448163
DYNLL2	38.8724265606276	33.5502167916676	34.4080188213678	34.922218485991	36.7589855980143	33.8590273960254
DYNLRB1	51.1022211497979	35.1405981226291	63.1975625702599	51.0266030346448	38.0921360731397	53.5217328788957
DYNLRB2	0.346053544394602	0.0696446505992794	0.223816477485691	0.126352733129427	0.210799460685295	0
DYNLT1	64.1279995137465	54.2172300624468	60.6754190492479	60.0386801177315	59.0484442922929	68.2842922773273
DYNLT3	20.3438268032358	19.247317936767	15.8537240297418	17.0193913184024	19.4032017850875	18.8717135420768
DYRK1A	18.8802680591993	16.7472831166073	15.5141782983548	17.8556944998998	15.729659515867	17.3301150380407
DYRK1B	2.64043618167338	1.57543958050585	2.84792515481184	2.75615959586194	0.99344138163261	2.09894463468258
DYRK2	44.5362879284874	29.1967500973858	34.1478598760742	41.5905163018615	32.3248058141263	41.2325426125341
DYRK3	0.0702183256346168	0.0847903019578071	0.085153106487809	0.0576865181263539	0.0320802634779356	0.0930303225906864
DYRK4	66.0818830124674	57.5769556513643	42.9188183061445	58.6877144605955	56.4037514085807	46.0293150252369
DYSF	6.84900084016783	4.61632346626308	19.2782326348182	13.8531723906907	7.6353423445445	35.0414497627086
DYTN	0	0	0.0184356683225586	0	0	0
DZANK1	1.72975184127042	1.45942376354262	1.38767871549073	1.37246171991543	1.53999830825794	1.41027722962759
DZIP1	0.0208032330874343	0.012560199910836	0.0100911544452716	0.0284841616360296	0.0285127789336859	0
DZIP1L	2.61527294165456	1.99820633308846	1.79625743004184	2.45908139845027	1.61777255987324	2.22305721857426
DZIP3	7.02779393283349	11.3431463203772	6.52602461072501	6.75497596046903	10.1247352023335	5.83324219777879
E2F1	0.687286239893388	0.535986458962788	0.916812151639738	0.909676548370805	0.745742200868571	0.815715894438578
E2F2	0.374686187192202	0.361954001749169	0.261721977569513	0.402213230480308	0.376597836777569	0.407057342471036
E2F3	11.3887181629142	11.5563408099355	12.978605338247	11.1750510314592	11.9351504948894	12.9621693504819
E2F4	30.7715777343832	13.513824120164	31.0414866851942	31.9987165451868	14.007567950095	27.7854694436238
E2F5	2.3669612413145	3.31546805671765	2.15853459587875	2.80012549231387	2.07625089301062	2.28922280698517
E2F6	4.57091841082719	4.29133351157062	4.02818673409496	4.69229952158932	4.22031496427484	4.80348890972757
E2F7	0.909549087940628	0.409814255309495	0.434615582856734	0.617109213063323	0.434147032771187	0.41366924488557
E2F8	0.326156710765654	0.262561335069694	0.348063928386222	0.392990088594875	0.437094350600946	0.201654146783437
E4F1	8.27752480970058	2.24276357152157	6.48395920327785	7.56116389834795	2.03116451415999	5.63833799399273
EAF1	13.1041380876505	10.8381973470053	13.9809549766055	13.1972794884443	12.2899765048034	14.2307708159211
EAF2	3.0449107179147	2.43588150513089	2.51092362131104	3.91899782947587	2.22577880578107	2.1683385397088
EAPP	15.2124901141132	14.7438961815508	18.2261130573779	12.215630205652	15.7813106222429	16.5934558698661
EARS2	5.37379997543629	6.59556259187164	7.62983806196987	6.34820602402935	6.97104663747011	7.78218979509952
EBAG9	8.34963000179629	15.432604259595	8.69009989028938	7.35882731547303	9.80701186798232	7.67148351125168
EBF1	0.0737184242673674	0.0267050263421671	0.0214554344045351	0.0888242035771929	0.0134717337797778	0.00976675067315372
EBF2	0.0159995308708669	0	0	0	0	0
EBF3	0.0176676596561341	0.0213341201568007	0.0342806488725591	0.00967635119441767	0.00807172730919621	0
EBF4	0.0265949213247573	0	0.0516022595788914	0.0873941892767577	0.0486011066368798	0
EBI3	0.47488946973286	0.16384010122693	0.42780698348275	1.30045443947563	0.216960162068943	0.539286821076522
EBLN1	0.0666236875238151	0	0	0	0	0
EBLN2	2.08918233898688	1.65379456541186	1.46381841633937	1.77989535580672	1.59078890222967	1.66074002923023
EBNA1BP2	21.5124403020821	15.8148817205054	22.2761227895307	18.833027270113	19.8093136080901	22.5204088271703
EBP	3.9923867147891	9.40471069646009	8.41315051334588	3.15440924329005	7.26601846786455	4.98591268611533
EBPL	1.71798117415401	2.61782548959838	2.77783959329748	2.86755447852675	2.54153137546891	3.30577280419487
ECD	16.536959419704	20.759203264388	18.6002852974002	17.9254730886418	21.7367974677718	19.2848024333244
ECE1	26.0804123765906	28.0680011155115	26.7330515992174	27.0603019797904	22.2880537459458	18.52576371702
ECE2	1.44210766646585	1.09981855664452	1.84087418262219	1.82906592441989	1.14431471194876	1.86032948950297
ECEL1	0	0.0161784355754448	0.0259962569312016	0	0	0
ECEL1P2	0	0	0	0	0	0
ECH1	21.1979238964556	9.66342013775384	20.9800794976108	18.7697856437623	8.76356796244951	15.7419133298541
ECHDC1	32.008295779926	46.3234933686253	31.9100158485115	31.7298946447701	47.4408493580487	35.1815272709555
ECHDC2	26.7751875313741	16.1348101041361	24.9788556056399	26.0919855847012	14.46315256047	24.2051880197267
ECHDC3	1.90916265814904	1.06833729087186	2.46204275520273	1.75970862671654	0.999871960503293	2.34431911464101
ECHS1	31.6418099857353	30.8873179265422	37.3074016147865	31.9399867242117	29.3868751337959	30.4465360383769
ECI1	12.0411017854309	5.46348412225514	12.4604855185399	11.111167050609	5.56783313997412	9.91014950456142
ECI2	9.48239707607285	11.9162178412925	9.8679303322813	8.66571067497511	13.1224483154855	9.67786648328328
ECM1	24.5405924337806	47.561309687115	47.4239520284675	26.4271972086612	39.7267200403751	29.2188696274461
ECM2	0.0950455590926027	0.0143462222723742	0.0115260860258641	0.0390414277033252	0.0542786827822627	0.0314808098216606
ECSCR	0	0.0924073612132386	0.0371211032098642	0	0.0349621646261277	0.152081424874937
